GB.XPD.RSDV.GD.ZS,GC.XPN.TOTL.GD.ZS,IP.PAT.RESD,NE.RSB.GNFS.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,SE.ADT.LITR.ZS,SE.XPD.PRIM.PC.ZS,SE.XPD.TOTL.GD.ZS,SH.DYN.NMRT,SH.XPD.GHED.GD.ZS,SI.POV.GINI,SI.POV.NAHC,SL.UEM.TOTL.ZS,SP.DYN.LE00.IN,SP.POP.SCIE.RD.P6,VC.IHR.PSRC.P5,year,country
1.96781003475189,18.0373335713637,3929.0,34853329526.8004,1.80151813598957,28300.4630963791,25480.0,,,,3.9,6.59055662,33.8,,7.57,79.7151219512195,3913.54833984375,1.73627308507896,2003,CAN
1.99733996391296,17.2659172104417,5231.0,45822444273.6357,3.08698080915133,32143.6814078562,29530.0,,,,4.0,6.62400055,33.8,,7.19,79.9921951219512,4098.00341796875,1.95853125009744,2004,CAN
1.97126996517181,17.8239879344923,5183.0,46388017824.7235,3.20420042827129,36382.5079164537,34310.0,,,4.76588010787964,3.9,6.59905815,33.6,,6.76,80.1126829268293,4250.05224609375,2.06109303240051,2005,CAN
1.94304001331329,17.0276912468077,5522.0,36316114245.4161,2.63430381378384,40504.0607253203,37900.0,,,,3.9,6.4866991,34.1,,6.32,80.5436585365854,4323.080078125,1.86893669521027,2006,CAN
1.90357995033264,16.9627803202211,4998.0,31956987245.1355,2.0718250311097,44659.8951408034,41550.0,,,4.7664098739624,3.8,6.57310772,33.8,,6.04,80.5436585365854,4595.39501953125,1.81666262127041,2007,CAN
1.85578000545502,17.0833534495245,5061.0,27432052483.5989,1.00428919859834,46710.5055759013,44940.0,,,4.62612009048462,3.8,6.70162201,33.9,,6.14,80.7246341463415,4715.39111328125,1.84836537294587,2008,CAN
1.9174200296402,18.85417104193,5067.0,-19832035692.4154,-2.92595564732009,40876.3101540295,43230.0,,,4.84057998657227,3.8,7.52310753,34.0,,8.34,81.0660975609756,4451.478515625,1.81580492682648,2009,CAN
1.82527995109558,19.0847071449408,4550.0,-30298625513.7095,3.08991946152595,47562.0834253057,44490.0,,,5.356369972229,3.7,7.48269749,33.6,,8.06,81.3221951219512,4646.30517578125,1.64000010305207,2010,CAN
1.78714001178741,17.8502680006291,4754.0,-20478981975.6714,3.14610049123631,52223.696112356,47190.0,,,5.26205015182495,3.7,7.31006718,32.7,,7.51,81.4826829268293,4780.08154296875,1.774292977025,2011,CAN
1.77232003211975,17.5175199279774,4709.0,-34546946168.8935,1.76096158776859,52669.0899632316,51080.0,,,4.69258737564087,3.7,7.40953112,33.5,,7.29,81.6636585365854,4627.45166015625,1.58250294806031,2012,CAN
1.70539999008179,17.0848821579089,4567.0,-28939829822.3548,2.3291225062102,52635.1749580433,52800.0,,,4.5890097618103,3.7,7.36776829,33.8,,7.07,81.7448780487805,4623.11767578125,1.45164409531216,2013,CAN
1.71416997909546,16.4020498301416,4198.0,-16351253124.4165,2.87003607545671,50955.9983232404,52200.0,,,4.84358978271484,3.6,7.24133968,33.2,,6.91,81.7843902439025,4541.84814453125,1.48285782460859,2014,CAN
1.69324004650116,17.0597786823228,4277.0,-38367633198.4945,0.659176863558869,43596.1355365546,47590.0,,17.56737,4.7393798828125,3.6,7.59109926,33.7,,6.91,81.8156097560976,4523.31494140625,1.70994583417735,2015,CAN
1.72872996330261,17.498604071126,4078.0,-36038362645.8534,1.00139441390405,42315.6037056806,43890.0,,,4.81642007827759,3.5,7.68809605,32.7,,7.0,81.9248780487805,4369.6298828125,1.70573180158618,2016,CAN
1.68579995632172,17.6065954076372,4053.0,-36155870205.7407,3.03988022528195,45129.4292980922,42900.0,,,4.95996999740601,3.5,7.57427883,33.3,,6.34,81.8329268292683,4422.56298828125,1.81920905577647,2017,CAN
1.6757800579071,17.5409004540917,4349.0,-33627409417.5435,2.77704055379553,46547.7951820036,45080.0,,,4.8889799118042,3.5,7.57710123,32.5,,5.83,81.8439024390244,4516.30419921875,1.78748605315357,2018,CAN
1.59123003482819,18.1057096781026,4238.0,-25564644016.6048,1.88822358535141,46374.1527517191,46600.0,,,4.77293014526367,3.4,7.6410737,31.7,,5.66,82.2287804878049,,1.83622745922526,2019,CAN
1.69638001918793,28.7117009197255,4452.0,-36910040911.2389,-5.07435756759732,43349.677855557,43810.0,,,4.88794994354248,3.4,9.70065022,,,9.46,81.6704878048781,,2.00323552889971,2020,CAN
,22.7334199866274,4710.0,-829427512.569993,5.01180087532744,52358.6216405155,48720.0,,,4.59400606155396,3.4,8.7053566,,,7.46,82.5966097560976,,2.06525947364399,2021,CAN
,18.6759703983923,,3734764063.9694,3.39620227946682,54966.4888361088,52960.0,,,4.13957166671753,,,,,5.209,,,,2022,CAN
,39.7261494705704,12437.0,-6711815879.30845,4.74314219356484,17727.5108342779,18570.0,,,4.54472017288208,4.0,,,,,76.1,,,1988,FRA
,38.7910440693515,12592.0,-7027555007.1972,4.34386106267613,17747.5815980944,19550.0,,,4.45639991760254,3.8,,,,,76.3487804878049,,,1989,FRA
,38.9491317605437,12378.0,-9957836405.25238,2.92393508123074,21865.5552539348,20710.0,,,4.51393985748291,3.6,,32.1,,,76.6,,2.40193301896905,1990,FRA
,40.189270142508,12597.0,-3984420416.23067,1.04817584704435,21675.7060879719,21420.0,,,4.84130001068115,3.4,,,,9.13,76.8487804878049,,2.39208199322677,1991,FRA
,41.5338830746026,12539.0,9382899628.25279,1.59934267687127,23814.227367599,23840.0,,,4.73539018630981,3.2,,,,10.2,77.1,,2.36001489025192,1992,FRA
,43.7464405279913,12638.0,22223766504.517,-0.628666351905437,22380.331904695,23580.0,,,5.42959022521973,3.1,,,,11.32,77.3,,2.66240254592287,1993,FRA
